Time Stamp	Battery Volts	Ramped Command 1	User Variable 1	Motor Amps 1	Motor Amps 2	Batt Amps 1	Batt Amps 2	Internal Sensor Speed RPM 1
29/11/2020 11:32:54 AM	58.9	301	916	64	63.6	14.7	13.5	1013
29/11/2020 11:32:54 AM	58.7	308	916	63.2	63.4	13.4	12.2	1035
29/11/2020 11:32:54 AM	58.5	314	916	62.8	64.3	14.3	13.5	1070
29/11/2020 11:32:54 AM	58.1	333	920	65	65.3	16.3	15.1	1120
29/11/2020 11:32:54 AM	57.9	340	932	64.3	65.4	15.2	14	1133
29/11/2020 11:32:54 AM	57.8	346	932	66.6	67.4	16.8	16.1	1147
29/11/2020 11:32:55 AM	57.6	353	932	66.7	69.7	16.9	15.7	1161
29/11/2020 11:32:55 AM	57.5	359	932	68.5	70.3	16.3	15.4	1161
29/11/2020 11:32:55 AM	57.3	358	0	71.1	74.2	18.3	18	1147
29/11/2020 11:32:55 AM	58.5	319	0	58.3	58.7	13.2	12.2	1094
29/11/2020 11:32:55 AM	59.7	280	0	47.6	46.2	9.9	9	1013
29/11/2020 11:32:55 AM	60.6	241	0	37.4	32.8	7.4	6.2	915
29/11/2020 11:32:55 AM	61.6	202	0	23.5	14.5	4.2	3.5	865
29/11/2020 11:32:56 AM	62	186	0	18.2	6.6	3.4	2.7	814
29/11/2020 11:32:56 AM	62	184	0	22.2	7.9	3.9	3	793
29/11/2020 11:32:56 AM	62	179	0	22	6.3	3.7	2.9	755
29/11/2020 11:32:56 AM	61.9	177	0	23.6	6.8	4	3.1	749
29/11/2020 11:32:56 AM	61.8	176	0	23.1	6.2	3.7	2.6	744
29/11/2020 11:32:56 AM	61.7	173	0	22.8	5.7	3.6	2.7	732
29/11/2020 11:32:56 AM	61.7	172	0	22.5	6	3.8	2.5	727
29/11/2020 11:32:56 AM	61.6	169	0	20	5.6	3.1	2.3	727
29/11/2020 11:32:57 AM	61.4	170	0	21.4	6.1	3.7	3	716
29/11/2020 11:32:57 AM	61.4	169	0	20.7	5.5	3.2	2	716
29/11/2020 11:32:57 AM	61.3	169	0	19.5	5.2	2.9	2.3	721
29/11/2020 11:32:57 AM	61.3	168	0	18.9	4	3.7	2.5	732
29/11/2020 11:32:57 AM	61.1	168	0	19.2	5.3	2.6	2	727
29/11/2020 11:32:57 AM	61.1	168	0	18.7	5.1	3.2	2.8	721
29/11/2020 11:32:57 AM	61	169	0	17.8	4.4	2.9	1.9	738
29/11/2020 11:32:57 AM	60.8	169	0	17.1	4.5	2.3	1.8	744
29/11/2020 11:32:58 AM	60.7	169	0	15.6	4	3.4	2.8	744
29/11/2020 11:32:58 AM	60.6	169	0	14.9	4.2	1.7	1.2	749
29/11/2020 11:32:58 AM	60.5	170	0	14.7	4	2.6	2.4	755
29/11/2020 11:32:58 AM	60.4	173	0	15.4	3	3.2	1.7	768
29/11/2020 11:32:58 AM	60.3	178	0	13.2	3.1	2.2	1.8	814
29/11/2020 11:32:58 AM	60	183	0	11.3	3	2.9	2.4	842
29/11/2020 11:32:58 AM	59.9	187	0	10	2.1	1.6	0.4	881
29/11/2020 11:32:59 AM	59.7	189	0	9.7	2.9	1.7	1.4	881
29/11/2020 11:32:59 AM	59.6	192	0	9.6	2.6	3	1.9	890
29/11/2020 11:32:59 AM	59.4	193	0	8.4	2.1	1.2	0.4	907
29/11/2020 11:32:59 AM	59.2	196	0	8.7	1.7	1.9	1.6	915
29/11/2020 11:32:59 AM	59.1	200	0	8.5	1.3	2.1	0.4	933
29/11/2020 11:32:59 AM	59.1	202	0	9.3	1.7	1.1	0.4	933
29/11/2020 11:32:59 AM	59	209	916	11.6	4.4	3.7	2.9	952
29/11/2020 11:32:59 AM	58.7	215	919	14.8	7.6	1.2	0.3	942
29/11/2020 11:33:00 AM	58.7	222	920	19.2	11.3	3.9	3.8	962
29/11/2020 11:33:00 AM	58.6	228	920	22	15.5	4.2	2.3	942
29/11/2020 11:33:00 AM	58.6	235	918	26.6	21.4	3.4	2.7	952
29/11/2020 11:33:00 AM	58.4	241	928	31.1	27.5	7.3	6	952
29/11/2020 11:33:00 AM	58.5	248	928	36.6	32.5	6	5.1	924
29/11/2020 11:33:00 AM	58.4	254	908	41.6	40.2	7.2	6.8	915
29/11/2020 11:33:00 AM	58.4	261	908	46.3	43.7	9.8	8.6	915
29/11/2020 11:33:00 AM	58.3	267	908	50.6	48.9	9.1	8.3	924
29/11/2020 11:33:01 AM	58.2	273	908	54.7	52.7	11.4	10.3	915
29/11/2020 11:33:01 AM	58.2	280	908	59	56.3	11.4	10.4	924
29/11/2020 11:33:01 AM	58.1	286	908	63.5	60.2	13.2	12.6	915
29/11/2020 11:33:01 AM	58	293	886	67.3	63.4	15	12.8	924
29/11/2020 11:33:01 AM	58	299	833	69.8	66	13.5	11.9	942
29/11/2020 11:33:01 AM	57.9	306	833	71.4	68.8	15.8	14.2	952
29/11/2020 11:33:01 AM	57.9	312	480	73.7	70.3	15.7	14.1	952
29/11/2020 11:33:02 AM	57.8	319	704	76.7	72.9	19.7	16.2	962
29/11/2020 11:33:02 AM	57.6	325	897	78.7	76.9	18.8	17.4	962
29/11/2020 11:33:02 AM	57.6	332	904	81.3	78.3	19.2	17.5	971
